ID_HASH;TIPO_DOCUMENTO;ETNIA;GENERO;ESTADO_CIVIL;DESCRIPCION_CIUDADANIA;PROVINCIA_RESIDENCIA;PAIS_RESIDENCIA;PAIS_NACIMIENTO;DISCAPACIDAD;TIPO_DISCAPACIDAD;PORCENTAJE_DISCAPACIDAD;DESCRIP_TIPO_DOCUMENTO;PROGRAMA;PROGAMA_DESC;AREA_MATERIAS;NIVEL_POR_MATERIAS;NIVEL_POR_ASIG_APROBADAS;PERIODO;DESC_PERIODO;NIVEL2;NIVEL_ESTUDIO_PROGRAMA;CODIGO_FACULTAD;FACULTAD;DENOMINACION_A_N;TIENE_PAGO;TIENE_SALDO;SEMESTRE_INTERNACIONALIZACION
ed9eb2e29e08371b;;Mestizo; Mujer;Soltero;Ecuatoriano;TUNGURAHUA;Ecuador;;NO;;;Cédula;A005;Derecho;A005-02;2;;202061;Primer P. Ord. 2020 Grado;65;GRADO;29;Escuela de Jurisprudencia;ANTIGUO;NO;NO;
819923425e13ad22;;Mestizo; Mujer;Soltero;Ecuatoriano;TUNGURAHUA;Ecuador;Ecuador;NO;;;Cédula;A006;Jurisprudencia;A006-06;6;;202061;Primer P. Ord. 2020 Grado;65;GRADO;29;Escuela de Jurisprudencia;ANTIGUO;NO;NO;
8dcee8f52c35c100;;Mestizo;Hombre;Soltero;Ecuatoriano;TUNGURAHUA;Ecuador;Ecuador;NO;;;Cédula;A002;Ingeniería Comercial;A002-09;9;;202061;Primer P. Ord. 2020 Grado;65;GRADO;37;Escuela de Adm. de Empresas A;ANTIGUO;NO;NO;
b5bef5a2fc38c234;;Mestizo;Hombre;Soltero;Ecuatoriano;TUNGURAHUA;Ecuador;Ecuador;NO;;;Cédula;A013;Psicología Clínica;A013-07;7;10.0;202066;Segundo P. Ord. 2020 Grado;65;GRADO;41;Escuela de Psicología - AMB;ANTIGUO;NO;NO;
a2e591397ddb9ea0;;Mestizo; Mujer;Soltero;Ecuatoriano;COTOPAXI;Ecuador;Ecuador;NO;;;Cédula;A004;Administración de Empresas;A004-08;8;;202066;Segundo P. Ord. 2020 Grado;65;GRADO;37;Escuela de Adm. de Empresas A;ANTIGUO;NO;NO;
1bae4295bcee1f09;;Mestizo; Mujer;Soltero;Ecuatoriano;TUNGURAHUA;Ecuador;Ecuador;NO;;;Cédula;A007;Ingeniería Diseño industrial ;A007-09;9;;202066;Segundo P. Ord. 2020 Grado;65;GRADO;28;Escuela de Diseño Industrial A;ANTIGUO;NO;NO;
0a88c3ea52ab16db;;Mestizo; Mujer;Soltero;Ecuatoriano;TUNGURAHUA;Ecuador;Ecuador;NO;;;Cédula;A005;Derecho;A005-05;5;;202066;Segundo P. Ord. 2020 Grado;65;GRADO;29;Escuela de Jurisprudencia;ANTIGUO;NO;NO;
6cbacfd4cdd23a5d;;Mestizo; Mujer;Soltero;Ecuatoriano;COTOPAXI;Ecuador;Ecuador;NO;;;Cédula;A024;Carr. ICA.;A024-07;7;;202061;Primer P. Ord. 2020 Grado;65;GRADO;16;Escuela de Administración;ANTIGUO;NO;NO;
6cbacfd4cdd23a5d;;Mestizo; Mujer;Soltero;Ecuatoriano;COTOPAXI;Ecuador;Ecuador;NO;;;Cédula;A024;Carr. ICA.;A024-08;8;;202066;Segundo P. Ord. 2020 Grado;65;GRADO;16;Escuela de Administración;ANTIGUO;NO;NO;
ff08a47dde7a5cf9;;Mestizo; Mujer;Soltero;Ecuatoriano;TUNGURAHUA;Ecuador;Ecuador;NO;;;Cédula;A005;Derecho;A005-04;4;;202061;Primer P. Ord. 2020 Grado;65;GRADO;29;Escuela de Jurisprudencia;ANTIGUO;NO;NO;
9d1cf2254b1eaa06;;Mestizo; Mujer;Soltero;Ecuatoriano;TUNGURAHUA;Ecuador;Ecuador;NO;;;Cédula;A032;Derecho;A032-01;1;9.0;202061;Primer P. Ord. 2020 Grado;65;GRADO;29;Escuela de Jurisprudencia;NUEVO;NO;NO;
f06ebc7b9485212a;;Mestizo; Mujer;Soltero;Ecuatoriano;TUNGURAHUA;Ecuador;Ecuador;NO;;;Cédula;A006;Jurisprudencia;A006-07;7;;202066;Segundo P. Ord. 2020 Grado;65;GRADO;29;Escuela de Jurisprudencia;ANTIGUO;NO;NO;
6c6c455941ed6c5b;;Mestizo;Hombre;Soltero;Ecuatoriano;TUNGURAHUA;Ecuador;;NO;;;Cédula;A014;Psicología;A014-02;2;;202066;Segundo P. Ord. 2020 Grado;65;GRADO;41;Escuela de Psicología - AMB;ANTIGUO;NO;NO;
cd370df552c08850;;Mestizo; Mujer;Soltero;Ecuatoriano;TUNGURAHUA;Ecuador;Ecuador;NO;;;Cédula;A013;Psicología Clínica;A013-08;8;10.0;202066;Segundo P. Ord. 2020 Grado;65;GRADO;41;Escuela de Psicología - AMB;ANTIGUO;NO;NO;
fcd00bd0d020841c;;Mestizo;Hombre;Soltero;Ecuatoriano;COTOPAXI;Ecuador;Ecuador;NO;;;Cédula;A004;Administración de Empresas;A004-07;7;;202061;Primer P. Ord. 2020 Grado;65;GRADO;37;Escuela de Adm. de Empresas A;ANTIGUO;NO;NO;
d435217869bfffda;;Mestizo;Hombre;Soltero;Ecuatoriano;TUNGURAHUA;Ecuador;Ecuador;NO;;;Cédula;A008;Diseño de Productos ;A008-02;2;;202066;Segundo P. Ord. 2020 Grado;65;GRADO;28;Escuela de Diseño Industrial A;ANTIGUO;NO;NO;
b66e4f479a23080e;;Mestizo;Hombre;Soltero;Ecuatoriano;COTOPAXI;Ecuador;Ecuador;NO;;;Cédula;A004;Administración de Empresas;A004-06;6;;202066;Segundo P. Ord. 2020 Grado;65;GRADO;37;Escuela de Adm. de Empresas A;ANTIGUO;NO;NO;
28a024d1f63b1b82;;Mestizo; Mujer;Soltero;Ecuatoriano;TUNGURAHUA;Ecuador;Ecuador;NO;;;Cédula;A012;Psicología Organizacional ;A012-07;7;10.0;202066;Segundo P. Ord. 2020 Grado;65;GRADO;41;Escuela de Psicología - AMB;ANTIGUO;NO;NO;
277d26690003f030;;Mestizo;Hombre;Soltero;Ecuatoriano;BOLIVAR;Ecuador;Ecuador;NO;;;Cédula;A006;Jurisprudencia;A006-06;6;;202061;Primer P. Ord. 2020 Grado;65;GRADO;29;Escuela de Jurisprudencia;ANTIGUO;NO;NO;
3684d3452d89404c;;Mestizo; Mujer;Soltero;Ecuatoriano;BOLIVAR;Ecuador;Ecuador;NO;;;Cédula;A013;Psicología Clínica;A013-07;7;10.0;202066;Segundo P. Ord. 2020 Grado;65;GRADO;41;Escuela de Psicología - AMB;ANTIGUO;NO;NO;
7b47a772aab9c433;;Mestizo;Hombre;Soltero;Ecuatoriano;TUNGURAHUA;Ecuador;Ecuador;NO;;;Cédula;A013;Psicología Clínica;A013-06;6;;202061;Primer P. Ord. 2020 Grado;65;GRADO;41;Escuela de Psicología - AMB;ANTIGUO;NO;NO;
7b47a772aab9c433;;Mestizo;Hombre;Soltero;Ecuatoriano;TUNGURAHUA;Ecuador;Ecuador;NO;;;Cédula;A013;Psicología Clínica;A013-07;7;;202066;Segundo P. Ord. 2020 Grado;65;GRADO;41;Escuela de Psicología - AMB;ANTIGUO;NO;NO;
6773018f40f1c7ad;;Mestizo;Hombre;Soltero;Ecuatoriano;TUNGURAHUA;Ecuador;Ecuador;NO;;;Cédula;A004;Administración de Empresas;A004-01;1;;202061;Primer P. Ord. 2020 Grado;65;GRADO;37;Escuela de Adm. de Empresas A;ANTIGUO;NO;NO;
2c4978bf4a879fb6;;Mestizo; Mujer;Soltero;Ecuatoriano;TUNGURAHUA;Ecuador;Ecuador;NO;;;Cédula;A008;Diseño de Productos ;A008-07;7;;202066;Segundo P. Ord. 2020 Grado;65;GRADO;28;Escuela de Diseño Industrial A;ANTIGUO;NO;NO;
c7ad923ac4790c13;;Mestizo; Mujer;Soltero;Ecuatoriano;TUNGURAHUA;Ecuador;Ecuador;NO;;;Cédula;A013;Psicología Clínica;A013-10;10;;202066;Segundo P. Ord. 2020 Grado;65;GRADO;41;Escuela de Psicología - AMB;ANTIGUO;NO;NO;
1df7d1f0206dc139;;Mestizo;Hombre;Soltero;Ecuatoriano;TUNGURAHUA;Ecuador;Ecuador;NO;;;Cédula;A006;Jurisprudencia;A006-07;7;;202061;Primer P. Ord. 2020 Grado;65;GRADO;29;Escuela de Jurisprudencia;ANTIGUO;NO;NO;
879588c9da38f78a;;Mestizo;Hombre;Soltero;Ecuatoriano;TUNGURAHUA;Ecuador;Ecuador;NO;;;Cédula;A012;Psicología Organizacional ;A012-07;7;10.0;202066;Segundo P. Ord. 2020 Grado;65;GRADO;41;Escuela de Psicología - AMB;ANTIGUO;NO;NO;
7b89985042a2143f;;;Hombre;Soltero;Ecuatoriano;TUNGURAHUA;Ecuador;Ecuador;NO;;;Cédula;A026;Administración Empresas;A026-01;1;7.0;202066;Segundo P. Ord. 2020 Grado;65;GRADO;37;Escuela de Adm. de Empresas A;NUEVO;NO;NO;
5c250da7b912e503;;Mestizo;Hombre;Soltero;Ecuatoriano;TUNGURAHUA;Ecuador;Ecuador;NO;;;Cédula;A006;Jurisprudencia;A006-08;8;;202066;Segundo P. Ord. 2020 Grado;65;GRADO;29;Escuela de Jurisprudencia;ANTIGUO;NO;NO;
