ID_HASH;TIPO_DOCUMENTO;ETNIA;GENERO;ESTADO_CIVIL;DESCRIPCION_CIUDADANIA;PROVINCIA_RESIDENCIA;PAIS_RESIDENCIA;PAIS_NACIMIENTO;DISCAPACIDAD;TIPO_DISCAPACIDAD;PORCENTAJE_DISCAPACIDAD;DESCRIP_TIPO_DOCUMENTO;PROGRAMA;PROGAMA_DESC;AREA_MATERIAS;NIVEL_POR_MATERIAS;NIVEL_POR_ASIG_APROBADAS;PERIODO;DESC_PERIODO;NIVEL2;NIVEL_ESTUDIO_PROGRAMA;CODIGO_FACULTAD;FACULTAD;DENOMINACION_A_N;TIENE_PAGO;TIENE_SALDO;SEMESTRE_INTERNACIONALIZACION
03f1f998e76571b6;;; Mujer;Soltero;Ecuatoriano;PICHINCHA;Ecuador;Ecuador;NO;;;Cédula;A064;Medicina;A064-07;7.0;4.0;202451;Primer P. Ord. 2024 Medicina;65;GRADO;79;Escuela de Ciencias de la Salu;ANTIGUO;SI;NO;
03f1f998e76571b6;;; Mujer;Soltero;Ecuatoriano;PICHINCHA;Ecuador;Ecuador;NO;;;Cédula;A064;Medicina;A064-08;8.0;4.0;202456;Segundo P. Ord. 2024 Medicina;65;GRADO;79;Escuela de Ciencias de la Salu;ANTIGUO;SI;NO;
7a340e7c99a2ffb1;;Mestizo;Hombre;Soltero;Ecuatoriano;CHIMBORAZO;Ecuador;Ecuador;NO;;;Cédula;A032;Derecho;A032-07;7.0;9.0;202461;Primer P. Ord. 2024 Grado;65;GRADO;29;Escuela de Jurisprudencia;ANTIGUO;SI;NO;
d26515d9f5340d19;;Mestizo;Hombre;Soltero;Ecuatoriano;TUNGURAHUA;Ecuador;Ecuador;NO;;;Cédula;A026;Administración Empresas;A026-03;3.0;;202466;Segundo P. Ord. 2024 Grado;65;GRADO;37;Escuela de Adm. de Empresas A;ANTIGUO;SI;NO;
3f8f4de960878640;;Mestizo;Hombre;Soltero;Ecuatoriano;TUNGURAHUA;Ecuador;;NO;;;Cédula;A032;Derecho;A032-08;8.0;9.0;202466;Segundo P. Ord. 2024 Grado;65;GRADO;29;Escuela de Jurisprudencia;ANTIGUO;SI;NO;
aeb89a402b9a8f07;;Mestizo; Mujer;Soltero;Ecuatoriano;TUNGURAHUA;Ecuador;;NO;;;Cédula;A070;Psicología;A070-06;6.0;8.0;202461;Primer P. Ord. 2024 Grado;65;GRADO;41;Escuela de Psicología - AMB;ANTIGUO;SI;NO;
c8a32dfcdf95d8cb;;Mestizo; Mujer;Soltero;Ecuatoriano;TUNGURAHUA;Ecuador;;NO;;;Cédula;A032;Derecho;A032-06;6.0;8.0;202461;Primer P. Ord. 2024 Grado;65;GRADO;29;Escuela de Jurisprudencia;ANTIGUO;SI;NO;
0058fcf72ecfe5fe;;Mestizo;Hombre;Soltero;Ecuatoriano;TUNGURAHUA;Ecuador;Ecuador;NO;;;Cédula;A061;Diseño de Productos;A061-08;8.0;;202461;Primer P. Ord. 2024 Grado;65;GRADO;78;Escuela de Ingeniería;ANTIGUO;SI;NO;
233c08988ee60dd1;;Mestizo;Hombre;Soltero;Ecuatoriano;TUNGURAHUA;Ecuador;;NO;;;Cédula;A026;Administración Empresas;A026-08;8.0;8.0;202466;Segundo P. Ord. 2024 Grado;65;GRADO;37;Escuela de Adm. de Empresas A;ANTIGUO;SI;NO;
aa78e6ade42cffe2;;Mestizo; Mujer;Soltero;Ecuatoriano;TUNGURAHUA;Ecuador;Ecuador;NO;;;Cédula;A071;Psicología Clínica;A071-07;7.0;8.0;202461;Primer P. Ord. 2024 Grado;65;GRADO;41;Escuela de Psicología - AMB;ANTIGUO;SI;NO;
05a5a95c7125caf2;;Mestizo; Mujer;Soltero;Ecuatoriano;TUNGURAHUA;Ecuador;Ecuador;NO;;;Cédula;A070;Psicología;A070-04;4.0;8.0;202461;Primer P. Ord. 2024 Grado;65;GRADO;41;Escuela de Psicología - AMB;ANTIGUO;SI;NO;
cfcd326f01300052;;Mestizo;Hombre;Soltero;Ecuatoriano;TUNGURAHUA;Ecuador;Ecuador;NO;;;Cédula;A031;Psicología;A031-08;8.0;7.0;202461;Primer P. Ord. 2024 Grado;65;GRADO;41;Escuela de Psicología - AMB;ANTIGUO;SI;NO;
baf2e75ee060e61d;;Mestizo; Mujer;Soltero;Ecuatoriano;TUNGURAHUA;Ecuador;Ecuador;NO;;;Cédula;A070;Psicología;A070-06;6.0;;202461;Primer P. Ord. 2024 Grado;65;GRADO;41;Escuela de Psicología - AMB;ANTIGUO;SI;NO;
8df5cc52973774bb;;Mestizo; Mujer;Soltero;Ecuatoriano;TUNGURAHUA;Ecuador;Ecuador;NO;;;Cédula;A032;Derecho;A032-09;9.0;9.0;202461;Primer P. Ord. 2024 Grado;65;GRADO;29;Escuela de Jurisprudencia;ANTIGUO;SI;NO;
5b642948de6e149f;;Mestizo;Hombre;Soltero;Ecuatoriano;TUNGURAHUA;Ecuador;Ecuador;NO;;;Cédula;A071;Psicología Clínica;A071-03;3.0;4.0;202466;Segundo P. Ord. 2024 Grado;65;GRADO;41;Escuela de Psicología - AMB;ANTIGUO;SI;NO;
1be614b66453a461;;; Mujer;Soltero;Ecuatoriano;SANTO DOMINGO DE LOS TSACHILAS;Ecuador;Ecuador;NO;;;Cédula;A032;Derecho;A032-09;9.0;9.0;202466;Segundo P. Ord. 2024 Grado;65;GRADO;29;Escuela de Jurisprudencia;ANTIGUO;SI;NO;
df90db4850dd11d2;;;Hombre;Soltero;Ecuatoriano;PICHINCHA;Ecuador;Ecuador;NO;;;Cédula;A064;Medicina;A064-06;6.0;7.0;202451;Primer P. Ord. 2024 Medicina;65;GRADO;79;Escuela de Ciencias de la Salu;ANTIGUO;SI;NO;
b9bdfd085197b16f;;; Mujer;Soltero;Ecuatoriano;PICHINCHA;Ecuador;Ecuador;NO;;;Cédula;A064;Medicina;A064-08;8.0;8.0;202456;Segundo P. Ord. 2024 Medicina;65;GRADO;79;Escuela de Ciencias de la Salu;ANTIGUO;SI;NO;
ea03a91fd045aebf;;Mestizo; Mujer;Soltero;Ecuatoriano;TUNGURAHUA;Ecuador;Ecuador;NO;;;Cédula;A071;Psicología Clínica;A071-06;6.0;8.0;202461;Primer P. Ord. 2024 Grado;65;GRADO;41;Escuela de Psicología - AMB;ANTIGUO;SI;NO;
800d2479540e3499;;Mestizo; Mujer;Soltero;Ecuatoriano;TUNGURAHUA;Ecuador;Ecuador;NO;;;Cédula;A026;Administración Empresas;A026-08;8.0;8.0;202461;Primer P. Ord. 2024 Grado;65;GRADO;37;Escuela de Adm. de Empresas A;ANTIGUO;SI;NO;
ff1b671d1e1ed50b;;Mestizo; Mujer;Soltero;Ecuatoriano;TUNGURAHUA;Ecuador;Ecuador;NO;;;Cédula;A114;Psicología Clínica_R;A114-01;1.0;4.0;202466;Segundo P. Ord. 2024 Grado;65;GRADO;D6;Vida digna_salud int - Cs Salu;NUEVO;SI;NO;
