ID_HASH;TIPO_DOCUMENTO;ETNIA;GENERO;ESTADO_CIVIL;DESCRIPCION_CIUDADANIA;PROVINCIA_RESIDENCIA;PAIS_RESIDENCIA;PAIS_NACIMIENTO;DISCAPACIDAD;TIPO_DISCAPACIDAD;PORCENTAJE_DISCAPACIDAD;DESCRIP_TIPO_DOCUMENTO;PROGRAMA;PROGAMA_DESC;AREA_MATERIAS;NIVEL_POR_MATERIAS;NIVEL_POR_ASIG_APROBADAS;PERIODO;DESC_PERIODO;NIVEL2;NIVEL_ESTUDIO_PROGRAMA;CODIGO_FACULTAD;FACULTAD;DENOMINACION_A_N;TIENE_PAGO;TIENE_SALDO;SEMESTRE_INTERNACIONALIZACION
e792b36046779447;;;Hombre;Soltero;Ecuatoriano;COTOPAXI;Ecuador;Ecuador;NO;;;Cédula;A031;Psicología;A031-04;4;;202166;Segundo P. Ord. 2021 Grado;65;GRADO;41;Escuela de Psicología - AMB;ANTIGUO;SI;NO;
393ce8563a7fedc2;;Mestizo;Hombre;Soltero;Ecuatoriano;PICHINCHA;Ecuador;Ecuador;NO;;;Cédula;A032;Derecho;A032-07;7;;202161;Primer P. Ord. 2021 Grado;65;GRADO;29;Escuela de Jurisprudencia;ANTIGUO;SI;NO;
d90d90ba442175b7;;; Mujer;Soltero;Ecuatoriano;PICHINCHA;Ecuador;Ecuador;NO;;;Cédula;A032;Derecho;A032-01;1;9.0;202166;Segundo P. Ord. 2021 Grado;65;GRADO;29;Escuela de Jurisprudencia;NUEVO;SI;NO;
f36ccf0368d95acf;;Mestizo; Mujer;Soltero;Ecuatoriano;PASTAZA;Ecuador;Ecuador;NO;;;Cédula;A013;Psicología Clínica;A013-10;10;10.0;202166;Segundo P. Ord. 2021 Grado;65;GRADO;41;Escuela de Psicología - AMB;ANTIGUO;SI;NO;
efe564a113850670;;Mestizo;Hombre;Soltero;Ecuatoriano;TUNGURAHUA;Ecuador;Ecuador;NO;;;Cédula;A007;Ingeniería Diseño industrial ;A007-10;10;;202161;Primer P. Ord. 2021 Grado;65;GRADO;28;Escuela de Diseño Industrial A;ANTIGUO;SI;NO;
a2963d0013925990;;Mestizo; Mujer;Soltero;Ecuatoriano;TUNGURAHUA;Ecuador;Ecuador;NO;;;Cédula;A026;Administración Empresas;A026-07;7;8.0;202166;Segundo P. Ord. 2021 Grado;65;GRADO;37;Escuela de Adm. de Empresas A;ANTIGUO;SI;NO;
d0923aaab4af790f;;Mestizo; Mujer;Soltero;Ecuatoriano;PASTAZA;Ecuador;Ecuador;NO;;;Cédula;A031;Psicología;A031-05;5;8.0;202161;Primer P. Ord. 2021 Grado;65;GRADO;41;Escuela de Psicología - AMB;ANTIGUO;SI;NO;
fde92ffd12699dda;;Mestizo;Hombre;Soltero;Ecuatoriano;CHIMBORAZO;Ecuador;Ecuador;NO;;;Cédula;A013;Psicología Clínica;A013-09;9;10.0;202166;Segundo P. Ord. 2021 Grado;65;GRADO;41;Escuela de Psicología - AMB;ANTIGUO;SI;NO;
ffc34e33aade3187;;Mestizo; Mujer;Soltero;Ecuatoriano;TUNGURAHUA;Ecuador;Ecuador;NO;;;Cédula;A032;Derecho;A032-08;8;9.0;202166;Segundo P. Ord. 2021 Grado;65;GRADO;29;Escuela de Jurisprudencia;ANTIGUO;SI;NO;
e40dc6a80f0d4af7;;Mestizo;Hombre;Soltero;Ecuatoriano;TUNGURAHUA;Ecuador;Ecuador;NO;;;Cédula;A006;Jurisprudencia;A006-04;4;8.0;202166;Segundo P. Ord. 2021 Grado;65;GRADO;29;Escuela de Jurisprudencia;ANTIGUO;SI;NO;
